Year,Series,Category,Value
2001,J2a,Biomass,4.42138836944302
2002,J2a,Biomass,4.74989925601707
2003,J2a,Biomass,4.65720227572501
2004,J2a,Biomass,4.94552730303184
2005,J2a,Biomass,4.77507025452724
2006,J2a,Biomass,4.60886856662383
2007,J2a,Biomass,4.40484921879854
2008,J2a,Biomass,4.28542707070373
2009,J2a,Biomass,4.10241568562998
2010,J2a,Biomass,4.0127771338644
2011,J2a,Biomass,4.10757756094659
2012,J2a,Biomass,4.04579631163084
2013,J2a,Biomass,4.10233584045643
2014,J2a,Biomass,4.34302529692649
2015,J2a,Biomass,4.3040651050176
2016,J2a,Biomass,3.92353067681213
2017,J2a,Biomass,3.82408136922857
2018,J2a,Biomass,3.69133075973111
2001,J2a,Metal ores,1.2412538567077
2002,J2a,Metal ores,1.16051195993967
2003,J2a,Metal ores,1.07912811246178
2004,J2a,Metal ores,1.11422708122943
2005,J2a,Metal ores,1.06460632090667
2006,J2a,Metal ores,1.06139309398219
2007,J2a,Metal ores,1.0998295434714
2008,J2a,Metal ores,0.896469340164663
2009,J2a,Metal ores,0.775179926030737
2010,J2a,Metal ores,0.784483885418804
2011,J2a,Metal ores,0.770460888325347
2012,J2a,Metal ores,0.797588641026616
2013,J2a,Metal ores,0.845606302875009
2014,J2a,Metal ores,0.848513216781205
2015,J2a,Metal ores,0.818302990025472
2016,J2a,Metal ores,0.783360496404881
2017,J2a,Metal ores,0.685008911129107
2018,J2a,Metal ores,0.74007428453708
2001,J2a,Non-metallic mineral materials,10.10772861
2002,J2a,Non-metallic mineral materials,9.64403574827196
2003,J2a,Non-metallic mineral materials,10.0532761157462
2004,J2a,Non-metallic mineral materials,10.6612175899886
2005,J2a,Non-metallic mineral materials,10.1890122968013
2006,J2a,Non-metallic mineral materials,9.8658008673371
2007,J2a,Non-metallic mineral materials,9.38253626687876
2008,J2a,Non-metallic mineral materials,7.66631497936268
2009,J2a,Non-metallic mineral materials,6.27298203402376
2010,J2a,Non-metallic mineral materials,5.98568906773248
2011,J2a,Non-metallic mineral materials,6.25730755757774
2012,J2a,Non-metallic mineral materials,6.07273695629126
2013,J2a,Non-metallic mineral materials,6.61442113230675
2014,J2a,Non-metallic mineral materials,7.98398630629071
2015,J2a,Non-metallic mineral materials,9.06015253402448
2016,J2a,Non-metallic mineral materials,8.30488543292138
2017,J2a,Non-metallic mineral materials,7.48351386805906
2018,J2a,Non-metallic mineral materials,7.39490760302409
2001,J2b,,1.5345876543998411
2002,J2b,,1.5833766099385018
2003,J2b,,1.606235666422693
2004,J2b,,1.5449125913700024
2005,J2b,,1.6584202679123174
2006,J2b,,1.7450752189556054
2007,J2b,,1.85381902510563
2008,J2b,,2.130041028070938
2009,J2b,,2.336740961198843
2010,J2b,,2.4602731180200696
2011,J2b,,2.400877773136521
2012,J2b,,2.4767317033724936
2013,J2b,,2.377691202979839
2014,J2b,,2.133240572308148
2015,J2b,,2.011412163143986
2016,J2b,,2.2117800006802826
2017,J2b,,2.4275111495498507
2018,J2b,,2.4803042377484696
