decibels,Air_Lden_percentage
50,1.7472750110496946
51,1.3839827577009471
52,1.0811766397799767
53,0.8528210920704512
54,0.6908852208564726
55,0.5555546399720821
56,0.4481356633706124
57,0.337297146931094
58,0.2519955462243939
59,0.192528533078612
60,0.1358145943217267
61,0.102434223140001
62,0.072233223748197
63,0.0467340206604966
64,0.0268253877720144
65,0.0146627280709253
66,0.0073643097569564
67,0.004630464023614
68,0.0024403164414684
69,0.0009195811339879
70,0.0001577153042515
71,4.917271864737646e-05
72,2.4915356649890103e-05
73,1.952935203545624e-05
74,0.0
75,0.0
