source_of_flooding_and_risk,year,number_of_properties
Rivers and the sea at high or medium risk,2018/2019,872000.0
Surface water,2018/2019,3181000.0
Rivers and the sea at low or very low risk,2018/2019,1677000.0
Rivers and the sea at high or medium risk,2019/2020,852000.0
Surface water,2019/2020,3173000.0
Rivers and the sea at low or very low risk,2019/2020,1638000.0
Rivers and the sea at high or medium risk,2020/2021,846000.0
Surface water,2020/2021,3173000.0
Rivers and the sea at low or very low risk,2020/2021,1652000.0
Rivers and the sea at high or medium risk,2021/2022,822000.0
Surface water,2021/2022,3173000.0
Rivers and the sea at low or very low risk,2021/2022,1661000.0
Rivers and the sea at high or medium risk,2022/2023,900000.0
Surface water,2022/2023,3423400.0
Rivers and the sea at low or very low risk,2022/2023,1880400.0
