UKMS sub region,Habitat,Assessment outcome,Number of results
Greater North Sea,Intertidal seagrass,Achieved,2
Greater North Sea,Intertidal seagrass,Not achieved,0
Greater North Sea,Intertidal seagrass,No data,1
Greater North Sea,Intertidal seagrass,Suitable habitat absent,0
Greater North Sea,Rocky shore macroalgae,Achieved,2
Greater North Sea,Rocky shore macroalgae,Not achieved,0
Greater North Sea,Rocky shore macroalgae,No data,1
Greater North Sea,Rocky shore macroalgae,Suitable habitat absent,0
Greater North Sea,Intertidal saltmarsh,Achieved,1
Greater North Sea,Intertidal saltmarsh,Not achieved,2
Greater North Sea,Intertidal saltmarsh,No data,0
Greater North Sea,Intertidal saltmarsh,Suitable habitat absent,0
Greater North Sea,Soft sediment invertebrates,Achieved,2
Greater North Sea,Soft sediment invertebrates,Not achieved,1
Greater North Sea,Soft sediment invertebrates,No data,0
Greater North Sea,Soft sediment invertebrates,Suitable habitat absent,0
Celtic Seas,Intertidal seagrass,Achieved,2
Celtic Seas,Intertidal seagrass,Not achieved,0
Celtic Seas,Intertidal seagrass,No data,3
Celtic Seas,Intertidal seagrass,Suitable habitat absent,1
Celtic Seas,Rocky shore macroalgae,Achieved,5
Celtic Seas,Rocky shore macroalgae,Not achieved,0
Celtic Seas,Rocky shore macroalgae,No data,0
Celtic Seas,Rocky shore macroalgae,Suitable habitat absent,1
Celtic Seas,Intertidal saltmarsh,Achieved,1
Celtic Seas,Intertidal saltmarsh,Not achieved,0
Celtic Seas,Intertidal saltmarsh,No data,4
Celtic Seas,Intertidal saltmarsh,Suitable habitat absent,1
Celtic Seas,Soft sediment invertebrates,Achieved,3
Celtic Seas,Soft sediment invertebrates,Not achieved,2
Celtic Seas,Soft sediment invertebrates,No data,1
Celtic Seas,Soft sediment invertebrates,Suitable habitat absent,0
