year,extent,hectares
2005,Extent on land,988754.451984867
2006,Extent on land,990324.231310061
2007,Extent on land,993031.207933118
2008,Extent on land,994135.505488494
2009,Extent on land,994400.40173056
2010,Extent on land,994207.751286559
2011,Extent on land,998035.300781861
2012,Extent on land,998405.854922756
2013,Extent on land,998825.476932941
2014,Extent on land,1000894.33379139
2015,Extent on land,1002529.97969811
2016,Extent on land,1004719.51009171
2017,Extent on land,1012970.13539104
2018,Extent on land,1015777.55648388
2019,Extent on land,1017242.42688665
2020,Extent on land,1018303.5968852
2021,Extent on land,1023023.10044631
2022,Extent on land,1024397.18074146
2023,Extent on land,1030886.60999452
2005,Extent at sea,298919.469064392
2006,Extent at sea,298966.782095292
2007,Extent at sea,299036.804253938
2008,Extent at sea,328511.629746945
2009,Extent at sea,328511.23898662
2010,Extent at sea,328505.397826588
2011,Extent at sea,328505.261509774
2012,Extent at sea,328505.383235461
2013,Extent at sea,328504.733988291
2014,Extent at sea,783967.045615208
2015,Extent at sea,1103353.95145934
2016,Extent at sea,1343627.78396892
2017,Extent at sea,1343627.78396892
2018,Extent at sea,1685216.96529779
2019,Extent at sea,1690235.65039896
2020,Extent at sea,2343422.44199602
2021,Extent at sea,2447633.03834508
2022,Extent at sea,2447633.03835393
2023,Extent at sea,2447635.69041249
